Employee_ID,Name,Department,Salary,Working_Hours_per_Week,Performance_Rating,Joining_Date,Age,Gender,Experience_Years,Job_Level,Bonus,Leave_Days_Taken,Remote_Work_Percentage,Customer_Satisfaction_Score
9297,Employee_1,Marketing,62328,55.0,1.0,04-04-2023,39.0,Female,9,Senior,6796.0,7,71.0,1.9
7779,Employee_3,HR,92309,46.0,1.2,05-06-2029,25.0,Non-Binary,3,fresers,16248.0,28,50.0,3.1
6337,Employee_4,Operations,112680,31.0,3.6,12-10-2042,48.0,Male,20,Senior,19036.0,14,37.0,4.4
10787,Employee_5,HR,42202,44.0,2.5,29-07-2046,22.0,Non-Binary,18,Mid,18197.0,9,37.0,4.9
7225,Employee_6,Marketing,117549,34.0,3.2,18-10-2024,53.0,Not selected,11,Mid,8810.0,22,33.0,4.9
4601,Employee_7,Finance,51340,39.0,4.7,10-11-2045,42.0,Non-Binary,31,fresers,18095.0,25,63.0,2.4
9476,Employee_8,Support,53464,45.0,1.4,10-09-2032,23.0,Male,4,Entry,15635.0,12,78.0,1.2
6621,Employee_9,HR,53279,45.0,2.6,23-01-2040,54.0,Not selected,39,fresers,13629.0,30,27.0,4.2
5471,Employee_10,Marketing,33542,42.0,2.3,31-03-2044,41.0,Not selected,14,Senior,10605.0,15,15.0,2.1
5924,Employee_12,HR,72215,45.0,4.6,05-06-2043,24.0,Female,11,Mid,2630.0,9,37.0,3.0
7908,Employee_13,IT,101362,45.0,3.6,21-12-2030,51.0,Non-Binary,18,Entry,17278.0,11,50.0,1.9
4834,Employee_14,IT,138295,56.0,3.3,30-04-2029,28.0,Male,15,Lead,17138.0,0,31.0,2.3
4169,Employee_15,Sales,57401,56.0,2.1,21-02-2026,47.0,Male,40,Senior,5411.0,24,62.0,3.1
6571,Employee_16,Finance,107850,36.0,2.1,29-01-2038,32.0,Female,31,Mid,6122.0,17,60.0,3.1
1912,Employee_17,Marketing,55495,53.0,1.9,15-06-2044,30.0,Non-Binary,20,Lead,13557.0,25,50.0,3.9
3663,Employee_18,Marketing,46003,34.0,3.3,08-03-2037,54.0,Non-Binary,20,Lead,2774.0,27,75.0,1.2
4691,Employee_19,Finance,30854,41.0,3.3,04-06-2041,55.0,Not selected,11,fresers,13715.0,0,64.0,3.6
10692,Employee_20,Finance,92595,54.0,3.2,05-09-2026,49.0,Male,15,Lead,7013.0,13,20.0,2.9
3871,Employee_21,IT,82150,57.0,2.7,21-03-2044,34.0,Not selected,14,fresers,13338.0,25,34.0,1.6
