Employee_ID,Name,Department,Salary,Working_Hours_per_Week,Performance_Rating,Joining_Date,Age,Gender,Experience_Years,Job_Level,Bonus,Leave_Days_Taken,Remote_Work_Percentage,Customer_Satisfaction_Score
9297,Employee_1,Marketing,62328,55,1,04-04-2023,39,Female,9,Senior,6796,7,71,1.9
7906,Employee_2,,102880,50,2.1,01-08-2023,41,Male,31,Entry,3839,1,66,4.3
7779,Employee_3,HR,92309,46,1.2,05-06-2029,25,Non-Binary,3,,16248,28,,3.1
6337,Employee_4,Operations,112680,31,3.6,12-10-2042,48,Male,20,Senior,19036,14,37,4.4
10787,Employee_5,HR,42202,44,2.5,29-07-2046,22,Non-Binary,18,Mid,18197,9,37,4.9
7225,Employee_6,Marketing,117549,34,3.2,18-10-2024,53,,11,Mid,8810,22,33,4.9
4601,Employee_7,Finance,51340,39,4.7,10-11-2045,42,Non-Binary,31,,18095,25,63,2.4
9476,Employee_8,Support,53464,45,1.4,10-09-2032,23,Male,4,Entry,15635,12,78,1.2
6621,Employee_9,HR,53279,45,2.6,23-01-2040,54,,39,,13629,30,27,4.2
5471,Employee_10,Marketing,33542,42,2.3,31-03-2044,41,,14,Senior,,15,15,2.1
10093,Employee_11,,87417,39,4,26-10-2027,37,Male,13,Mid,4947,1,15,2.1
5924,Employee_12,HR,72215,,4.6,05-06-2043,24,Female,11,Mid,2630,9,37,3
7908,Employee_13,IT,101362,,3.6,21-12-2030,51,Non-Binary,18,Entry,17278,11,,1.9
4834,Employee_14,IT,138295,56,3.3,30-04-2029,28,Male,15,Lead,17138,0,31,2.3
4169,Employee_15,Sales,57401,56,2.1,21-02-2026,47,Male,40,Senior,5411,24,62,3.1
6571,Employee_16,Finance,107850,36,2.1,29-01-2038,32,Female,31,Mid,6122,17,60,3.1
1912,Employee_17,Marketing,55495,53,1.9,15-06-2044,30,Non-Binary,20,Lead,13557,25,,3.9
3663,Employee_18,Marketing,46003,34,3.3,08-03-2037,54,Non-Binary,20,Lead,2774,27,75,1.2
4691,Employee_19,Finance,30854,41,3.3,04-06-2041,55,,11,,13715,0,64,3.6
10692,Employee_20,Finance,92595,54,3.2,05-09-2026,49,Male,15,Lead,7013,13,20,2.9
3871,Employee_21,IT,82150,57,2.7,21-03-2044,34,,14,,13338,25,34,1.6
6860,Employee_22,Support,125795,58,3.1,12-09-2026,35,Female,34,Entry,15331,28,62,3.2
1734,Employee_23,Operations,116253,48,1.2,09-03-2037,31,Male,24,Lead,5242,9,53,1
7156,Employee_24,HR,107691,40,1.1,10-02-2034,34,Non-Binary,31,Mid,13745,20,9,3.8
9754,Employee_25,IT,139186,54,1.3,08-07-2047,32,Male,13,,9445,9,,2.1
2238,Employee_26,Finance,109615,32,1.1,30-11-2025,32,Female,4,Lead,19930,26,,2.2
1583,Employee_27,Marketing,71214,51,1,20-03-2024,30,,34,Senior,11845,11,68,4.5
1112,Employee_28,Marketing,138730,31,4.2,14-06-2026,38,,6,Senior,12617,3,46,3.2
8316,Employee_29,,57308,37,1.4,11-07-2025,50,,4,Mid,7522,27,88,1.4
9339,Employee_30,,148806,46,2.4,31-12-2024,34,Non-Binary,16,Senior,6009,10,0,4.7
9706,Employee_31,Sales,133485,47,2.7,27-06-2031,23,,2,Lead,19715,7,21,4
7071,Employee_32,Support,121814,32,4.6,08-03-2033,37,Non-Binary,3,Entry,12839,17,44,3.1
9059,Employee_33,Operations,71733,58,4.1,04-02-2039,58,Non-Binary,14,,4582,3,38,3.2
1725,Employee_34,Sales,49431,50,4.6,16-08-2033,28,Male,26,,13954,16,,4.5
9029,Employee_35,Support,122312,32,3.5,05-12-2030,47,,23,Senior,1740,4,66,1.2
9895,Employee_36,IT,107406,35,1.4,09-05-2047,31,Female,17,Lead,1041,4,35,1.1
4937,Employee_37,Sales,62254,44,4.6,13-05-2046,54,Non-Binary,31,Senior,9157,7,89,1.5
8608,Employee_38,HR,30288,49,4.1,24-05-2040,41,Male,2,Lead,18642,5,67,2.2
5034,Employee_39,,67319,32,4.5,29-10-2044,47,Non-Binary,24,Entry,19129,28,74,2.4
3965,Employee_40,,112051,41,1.2,26-12-2030,58,Female,17,Mid,3606,26,72,4.2
5852,Employee_41,Operations,122979,60,4.4,15-11-2024,27,Non-Binary,21,Lead,19428,5,53,1.8
3551,Employee_42,Operations,53337,38,3.4,30-11-2024,25,,27,Mid,14170,3,21,2.2
7323,Employee_43,Sales,56050,31,2.9,09-05-2040,24,Female,8,,12608,23,2,2
7433,Employee_44,,124296,40,3.5,21-02-2033,53,,19,Entry,13103,7,9,1.9
7917,Employee_45,IT,86060,46,4.9,03-08-2026,47,,18,Mid,8030,8,46,2.4
7402,Employee_46,Operations,49475,51,3.4,04-02-2047,31,Male,33,Entry,7102,4,24,1.9
4496,Employee_47,Sales,71196,35,4.8,22-01-2031,59,Non-Binary,40,,,1,,3.1
6738,Employee_48,,129771,40,4.1,30-06-2024,40,,24,,5322,27,37,3
5089,Employee_49,IT,35657,41,1.8,25-11-2042,24,Female,7,Mid,11125,14,90,1.6
4250,Employee_50,IT,112884,52,1.4,23-04-2023,27,Male,39,Entry,12880,17,65,3.2
1631,Employee_51,Operations,129323,53,1.7,07-05-2027,47,Female,33,Senior,15964,18,9,3.9
4797,Employee_52,Sales,127472,44,4.5,25-02-2029,58,,7,Lead,7540,18,,2
10920,Employee_53,Sales,64593,56,3.6,19-07-2038,59,Non-Binary,0,Lead,17323,16,80,2.1
5036,Employee_54,Marketing,82669,46,3.6,28-08-2032,52,Male,36,Entry,14080,3,22,
6387,Employee_55,Sales,47218,59,1.9,10-01-2044,27,Non-Binary,34,Senior,17020,19,69,4.1
2721,Employee_56,IT,128939,53,1.1,16-09-2033,37,Non-Binary,34,,7871,22,85,3.7
9537,Employee_57,Finance,103723,35,1.3,15-10-2033,40,,20,Mid,2164,23,27,1.3
7798,Employee_58,Operations,81173,32,3.1,21-09-2027,39,,6,,6319,24,10,3.8
9810,Employee_59,Sales,81881,59,3.1,14-08-2036,34,Non-Binary,9,Senior,,12,,3.5
10349,Employee_60,,113980,55,1.8,21-10-2023,34,Female,13,Mid,10276,1,94,3.6
9294,Employee_61,Support,75159,47,2.3,10-09-2046,55,Female,3,Lead,15176,19,61,2.1
1677,Employee_62,,125755,39,4.5,12-03-2039,51,Non-Binary,33,Entry,14594,18,47,3.6
5280,Employee_63,Sales,56177,42,1.6,15-01-2035,22,Female,3,Senior,8701,17,91,4.6
2995,Employee_64,Marketing,139092,37,2.6,25-04-2037,33,Non-Binary,21,Entry,2616,16,69,1.7
3045,Employee_65,Sales,126036,53,1.6,14-04-2027,46,Female,33,Entry,18944,28,67,4.8
9764,Employee_66,Marketing,140843,36,1.5,21-04-2048,30,Female,31,Lead,11232,17,54,1.3
3076,Employee_67,Operations,87291,43,3.1,22-01-2032,26,Female,16,Mid,1012,20,32,2.8
1932,Employee_68,Marketing,124955,56,2.5,22-10-2028,36,Non-Binary,23,Lead,2318,30,66,2.6
9954,Employee_69,,39603,47,1.2,19-08-2030,25,,18,Mid,3154,24,,3.1
8455,Employee_70,Marketing,132256,52,4.1,25-11-2036,58,Non-Binary,23,,8248,13,29,4.3
1340,Employee_71,HR,66044,56,3,02-09-2034,53,Non-Binary,17,Senior,19116,12,60,4.5
3404,Employee_72,HR,109758,37,2.4,31-01-2035,46,Non-Binary,39,Entry,,23,34,2.3
2464,Employee_73,HR,142875,37,1.4,10-07-2042,31,Male,24,,7725,29,70,4
5557,Employee_74,HR,96836,36,1.1,18-10-2038,37,Female,19,,15600,24,7,3
6755,Employee_75,,87236,58,1,06-07-2035,31,Male,6,Lead,7010,28,59,1.1
5143,Employee_76,Sales,124743,49,4,14-02-2044,60,Female,14,,13642,1,64,3.1
10904,Employee_77,Sales,108699,51,2.5,02-04-2023,52,Non-Binary,7,,7184,28,,3.4
8682,Employee_78,Sales,109565,40,1.6,29-06-2030,54,,39,Mid,11974,15,76,4.7
7188,Employee_79,Sales,125522,57,2.7,07-04-2030,37,Non-Binary,12,,13630,29,47,2.6
9046,Employee_80,HR,90557,48,4.3,07-02-2039,52,Non-Binary,16,Lead,13454,9,92,3.6
8990,Employee_81,,53823,52,3.9,09-11-2025,23,,30,Lead,6193,9,22,1.6
8988,Employee_82,,119436,54,4.6,07-02-2037,28,Female,11,Mid,10061,26,92,1.2
10881,Employee_83,Sales,112563,58,2.5,29-11-2025,54,Male,25,Lead,12877,19,61,1.2
7332,Employee_84,Finance,103066,53,1.4,11-09-2045,44,Non-Binary,9,Entry,19615,6,71,2.9
9434,Employee_85,Marketing,129386,42,2.3,13-08-2036,38,,21,Entry,19372,17,81,3.5
3410,Employee_86,,125083,50,1.3,15-05-2024,58,Male,36,Senior,5628,1,85,2.1
2301,Employee_87,Support,40453,36,3.2,21-05-2024,27,Non-Binary,27,,,24,54,3.2
10975,Employee_88,Operations,114647,54,3.1,02-11-2039,25,,32,Senior,6591,23,86,4.3
1374,Employee_89,Operations,74571,32,3.3,11-10-2037,42,Non-Binary,10,Entry,,2,29,1.4
10661,Employee_90,,82161,57,2.3,16-11-2032,25,,20,Entry,17833,12,35,4
4539,Employee_91,Sales,136913,53,4,29-06-2025,24,Non-Binary,5,Entry,13926,30,28,1.5
3297,Employee_92,Operations,134064,47,1.7,24-04-2023,41,Non-Binary,34,Lead,15313,7,,3.2
1707,Employee_93,,41636,58,1.1,11-04-2042,39,,8,Mid,16062,27,26,2.3
